# scan = 222
# date = 11/10/2003
# time = 3:01:41 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 57 50 -.15 preset mcu 2
# builtin_command = scan s1 57 50 -.15 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     33    52.2008      1.856      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0011     2.0009     0.0652    14.6405    14.6378     0.0026   295.0000    62.2340   146.530
     34    52.0492      1.868      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0010     2.0007     0.0706    14.6405    14.6378     0.0026   295.0000    62.6520   146.157
     35    51.8996      1.860      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0008     2.0005     0.0759    14.6405    14.6378     0.0026   295.0000    62.6520   146.157
     36    51.7500      1.856      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0006     2.0003     0.0812    14.6405    14.6378     0.0026   295.0000    62.6520   146.157
     37    51.6004      1.829      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0004     2.0001     0.0866    14.6405    14.6378     0.0026   295.0000    62.6520   146.157
     38    51.4488      1.845      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     2.0001     1.9999     0.0920    14.6405    14.6378     0.0026   295.0000    63.3730   147.329
     39    51.3012      1.856      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9999     1.9997     0.0972    14.6405    14.6378     0.0026   295.0000    63.3730   147.329
     40    51.1506      1.868      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9996     1.9994     0.1026    14.6405    14.6378     0.0026   295.0000    63.3730   147.329
     41    51.0000      1.868      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9993     1.9991     0.1079    14.6405    14.6378     0.0026   295.0000    63.7670   144.968
     42    50.8494      1.834      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9991     1.9988     0.1133    14.6405    14.6378     0.0026   295.0000    63.7670   144.968
     43    50.7008      1.890      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9988     1.9985     0.1185    14.6405    14.6378     0.0026   295.0000    63.7670   144.968
     44    50.5492      1.867      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9985     1.9982     0.1239    14.6405    14.6378     0.0026   295.0000    64.2580   144.759
     45    50.3996      1.836      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9981     1.9979     0.1292    14.6405    14.6378     0.0026   295.0000    64.2580   144.759
     46    50.2500      1.874      0.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9978     1.9976     0.1346    14.6405    14.6378     0.0026   295.0000    64.2580   144.759
     47    50.1014      1.880      1.000   7400.000      2.000    41.2537   -77.5855     1.2705    -1.5665     0.0000    -0.0010    20.6266    41.2575     3.3305     1.9974     1.9972     0.1398    14.6405    14.6378     0.0026   295.0000    64.2580   144.759
# Sum of Counts = 23
# Center of Mass = 53.445826+/-15.763715
# Full Width Half-Maximum = 3.140643+/-7.103498
# 3:04:04 PM  11/10/2003   scan completed.
