# scan = 238
# date = 11/10/2003
# time = 6:33:00 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 4 .4
# builtin_command = scan sgu -4 4 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.130196,-0.134243,-0.010794,0.079914,-0.072892,-0.000156
# mode = 0
# plane_normal = 0.001702,0.026473,0.999613
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_63100PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     13     0.8005      0.909     67.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.9565     2.0431     0.0001    14.6405    14.6385     0.0020   295.0000     4.2360     4.805
     14     1.2000      0.935    125.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.9808     2.0191     0.0000    14.6405    14.6385     0.0020   295.0000     4.2427     4.813
     15     1.6000      0.931    139.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.0050     1.9949     0.0000    14.6405    14.6385     0.0020   295.0000     4.2427     4.813
     16     2.0000      0.931    170.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.0290     1.9707    -0.0000    14.6405    14.6385     0.0020   295.0000     4.2427     4.813
     17     2.4000      0.947    141.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.0530     1.9464    -0.0000    14.6405    14.6385     0.0020   295.0000     4.2340     4.807
     18     2.8000      0.929    111.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.0769     1.9220    -0.0001    14.6405    14.6385     0.0020   295.0000     4.2340     4.807
     19     3.2000      0.935     59.000   3700.000      1.000    41.2537    53.6309   -77.4891    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.1008     1.8975    -0.0001    14.6405    14.6385     0.0020   295.0000     4.2340     4.807
     20     3.6005      0.921     36.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.1245     1.8728    -0.0002    14.6405    14.6385     0.0020   295.0000     4.2340     4.807
     21     4.0005      0.907      6.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     2.1480     1.8481    -0.0002    14.6405    14.6385     0.0020   295.0000     4.2334     4.816
# Sum of Counts = 909
# Center of Mass = 1.950774+/-0.095742
# Full Width Half-Maximum = 1.698652+/-0.074300
# 6:34:06 PM  11/10/2003   scan completed.
