# scan = 10
# date = 11/8/2003
# time = 11:41:07 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 80 65 -.2 preset mcu 2
# builtin_command = scan s1 80 65 -.2 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     33    73.5994      1.917      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9996     0.9995    -0.0299    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     34    73.4006      1.905      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9997     0.9996    -0.0264    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     35    73.2008      1.883      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9998     0.9997    -0.0228    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     36    73.0000      1.909      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9999     0.9998    -0.0192    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     37    72.8012      1.940      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9998    -0.0157    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     38    72.5994      1.936      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999    -0.0121    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     39    72.4016      1.881      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999    -0.0085    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     40    72.2018      1.893      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999    -0.0050    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     41    71.9990      1.890      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999    -0.0014    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     42    71.8002      1.881      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999     0.0022    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     43    71.5994      1.876      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999     0.0058    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     44    71.3996      1.872      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999     0.0093    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     45    71.2018      1.898      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999     0.0129    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     46    71.0000      1.897      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9999     0.9998     0.0165    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     47    70.8012      1.898      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9999     0.9998     0.0200    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     48    70.5994      1.879      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9998     0.9997     0.0236    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     49    70.3996      1.879      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9997     0.9996     0.0272    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     50    70.1998      1.893      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9996     0.9995     0.0307    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     51    70.0000      1.856      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9995     0.9994     0.0343    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     52    69.8002      1.910      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9994     0.9993     0.0378    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     53    69.6004      1.874      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9992     0.9991     0.0414    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     54    69.4016      1.909      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9991     0.9990     0.0450    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     55    69.2018      1.930      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9989     0.9988     0.0485    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     56    69.0010      1.888      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9988     0.9986     0.0521    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     57    68.8002      1.878      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9986     0.9985     0.0557    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     58    68.5994      1.927      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9984     0.9983     0.0592    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     59    68.3996      1.887      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9982     0.9981     0.0628    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     60    68.2018      1.877      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9980     0.9978     0.0663    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     61    68.0000      1.897      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9977     0.9976     0.0699    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     62    67.8012      1.907      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9975     0.9974     0.0735    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     63    67.6004      1.890      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9972     0.9971     0.0770    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     64    67.3996      1.899      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9970     0.9968     0.0806    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
