# scan = 31
# date = 9/5/2017
# time = 3:10:13 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.008953,-0.004477,-0.058760,0.193048,0.096524,-0.002725,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_23318PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     11     0.0000      1.000 101963.000  13700.000      5.217    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2078     0.0000     5.9599    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     12     1.0005      1.000  82579.000  13717.000      5.224    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1894     0.0367     5.9590    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     13     2.0005      1.000  58602.000  13747.000      5.235    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1710     0.0734     5.9562    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     14     3.0005      1.000  38864.000  13356.000      5.086    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1526     0.1101     5.9517    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     15     4.0005      1.000  11589.000  13516.000      5.147    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1342     0.1468     5.9453    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     16     5.0005      1.000   3801.000  13552.000      5.161    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1158     0.1834     5.9371    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     17     6.0005      1.000   2021.000  13511.000      5.145    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0974     0.2199     5.9271    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     18     7.0005      1.000   1169.000  13680.000      5.209    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0790     0.2564     5.9153    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     19     8.0005      1.000    732.000  13572.000      5.168    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0606     0.2928     5.9017    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     20     9.0005      1.000    567.000  13529.000      5.152    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0422     0.3291     5.8863    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     21    10.0005      1.000    451.000  13609.000      5.182    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0239     0.3653     5.8690    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 999194
# Center of Mass = -2.165808+/-0.004298
# Full Width Half-Maximum = 6.025029+/-0.006113
# 3:11:34 PM  9/5/2017   scan completed.
