# scan = 25
# date = 10/22/2003
# time = 11:01:12 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a1 -2 2 .1
# builtin_command = scan a1 @(a1)+-2 @(a1)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a1
# def_y = detector
# col_headers = 
#   Pt.         a1       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     32   -16.6251      1.000     23.000  86415.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     33   -16.5262      1.000     21.000  86100.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     34   -16.4273      1.000     12.000  85816.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     35   -16.3257      1.000     11.000  86593.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     36   -16.2296      1.000      8.000  86448.000      0.752    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     37   -16.1252      1.000      7.000  86364.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     38   -16.0263      1.000     10.000  86098.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     39   -15.9274      1.000      9.000  85908.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     40   -15.8258      1.000      5.000  85876.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     41   -15.7269      1.000      6.000  86158.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
# Sum of Counts = 3232
# Center of Mass = -17.720657+/-0.440919
# Full Width Half-Maximum = 1.076570+/-0.133086
# 11:03:07 PM  10/22/2003   scan completed.
