# scan = 23
# date = 10/22/2003
# time = 10:56:16 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a1 -2 2 .1
# builtin_command = scan a1 @(a1)+-2 @(a1)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a1
# def_y = detector
# col_headers = 
#   Pt.         a1       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     11   -19.0036      1.000      9.000  86254.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     12   -18.9020      1.000     11.000  86035.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     13   -18.8004      1.000     26.000  85854.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     14   -18.7015      1.000     26.000  85899.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     15   -18.5999      1.000     61.000  85603.000      0.744    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     16   -18.5010      1.000     66.000  86322.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     17   -18.4021      1.000     73.000  85757.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     18   -18.3005      1.000    101.000  85379.000      0.742    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     19   -18.2016      1.000    141.000  86218.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     20   -18.1027      1.000    191.000  85735.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     21   -18.0038      1.000    205.000  86016.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     22   -17.9022      1.000    239.000  85786.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     23   -17.8006      1.000    257.000  86352.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     24   -17.6990      1.000    284.000  85828.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     25   -17.6001      1.000    278.000  86005.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     26   -17.5012      1.000    256.000  86186.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     27   -17.4023      1.000    197.000  86002.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     28   -17.3007      1.000    156.000  86556.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     29   -17.2018      1.000    126.000  85881.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     30   -17.1002      1.000     90.000  86176.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     31   -17.0041      1.000     59.000  85639.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     32   -16.8997      1.000     49.000  86020.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     33   -16.8008      1.000     51.000  86330.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     34   -16.6992      1.000     25.000  85986.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     35   -16.6031      1.000     19.000  85781.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     36   -16.4987      1.000     14.000  85577.000      0.744    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     37   -16.4026      1.000     17.000  85763.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     38   -16.3010      1.000      6.000  86182.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     39   -16.2021      1.000      6.000  85605.000      0.744    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     40   -16.1005      1.000      4.000  86119.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     41   -16.0043      1.000      5.000  85983.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
# Sum of Counts = 3087
# Center of Mass = -17.729495+/-0.451374
# Full Width Half-Maximum = 1.039847+/-0.136180
# 10:58:08 PM  10/22/2003   scan completed.
